ita@x it
apka@x apek
ery@y ery
zach@a za
rzach@x rz
ka@a ka
berem@x ber
psowi@x ps
tołach@x toł
pie p
rni@x rń
uchowie@x uch
kor@a kora
narów@x nar
kułami@x kuł
ince@a inka
iace@a iaka
isek@a iska
połom@x pół
uwom@a uwa
zki@a zka
yta@x yt
ęźniem@x ęzień
kosiów@x koś
zodach@x zód
dasem@x das
hrowi@x her
fel@x fel
zebem@x zeb
rnami@x rn
ązków@x ązek
uo@a ua
fki@x fek
ajdy@x ajd
kocie@a kota
ust@a usta
ięcie@a ięta
ieży@x ież
morach@x mor
oenowi@x oen
gesem@x ges
ężach@x ęż
gii@a gia
aha@x ah
ązce@a ązka
zkami@a zka
iumami@x ium
kolem@x kol
auzie@x auz
gle@e gle
dułach@x duł
miłowie@x mił
ch@y chy
iefach@x ief
ajt@x ajt
narze@x nar
ertu@x ert
ofie@x of
butów@x but
koniów@x koń
art@a arta
kami k
tec@a teca
jzą@a jza
ników@x nik
widze@a wiga
łusowi@x łus
ściach@x ść
badami@x bad
iasem@x ias
eesach@x ees
pusze@a pucha
wiu w
bolu@x bol
kup@x kup
mpa@o mpo
jnami@x jn
tyk@x tyk
psle@x psel
rwach@w rw
keyu@y key
wi@x wi
karami@x kar
gnami@a gna
jry@a jra
źniom zień
oena@x oen
nury@x nur
ncze@x ncz
ąż@a ąża
piry@x pir
lchem@x lch
eptami@x ept
ódeł@o ódło
ysiowie@x yś
kanowi@x kan
alli@x all
sykach@x syk
rdom@x rd
dyni@x dyn
dio@a dia
notach@x not
ujom@x uj
ukowi@x uk
ongu@x ong
erda@x erd
iej a
rczów@x rcz
śkach siek
orkami@x orek
ęty@x ęt
ążku@x ążek
krojem@x krój
ynt@x ynt
anżach@x anż
bi b
otka@x otek
artów@x art
eyów@y ey
wusem@x wus
icie@a ita
gach@x gi
fad@a fada
ofów@x of
gocie@x got
zęd@x zęd
iaki@x iak
aunom@x aun
rylu@x ryl
sylom@x syl
lba@a lba
uzów@x uz
ibru@x iber
ncą@a nca
zeb@x zeb
jłom@o jło
zeniami@x zeń
etą@a eta
eolem@x eol
ensów@x ens
łodom@x łód
patach@x pat
oisem@x ois
oszą@x osz
kątem@x kąt
orfami@x orf
us@a usa
idy@x id
źko@a źka
ułów@y uły
użek@a użka
załami@x zał
mil@a mila
zęgów@x zęg
rców@x rzec
głami@x gieł
leń@x leń
tyd@a tyda
pnie@x pień
naci@x nat
mplem@x mpel
unkowi@x unek
awce@x awiec
nczom@x ncz
ojem@x oj
rlów@x rl
nowom@w nów
nie@e nie
ianów@x ian
ing@a inga
ścia@x ść
owa@o owo
amkami@x amek
otkach@x otek
radom@x rad
cica@x cic
nyk@x nyk
himem@x him
ęże ąż
żek@x żek
gołem@x goł
hydami@x hyd
lfach@x lf
rrze@a rra
czu@e cze
łtowi@x łt
isie@x is
ektów@x ekt
cic@a cica
chta@x cht
tyk@a tyka
gaci@x gat
klę@a kla
enowie@x en
rekiem@x rek
buta@x but
mb@a mba
lwami@a lwa
żrami@a żra
reb@a rba
osek@a oska
efo@a efa
owowi ów
zonach@x zon
ewków@x ewek
icom@a ica
ioz@a ioza
afce@a afka
ure'ach@e ure
ólom@x ól
tusów@x tus
indem@x ind
owymi@y owy
lądzie@x ląd
ńcem niec
nti@x nti
drkowi@x drek
rawach@w raw
inek@a inka
oom o
nea@a nea
san@x san
lę@x lę
zeniu@x zeń
zalom@x zal
daku@x dak
rtach@x rt
korowi@x kor
fera@x fer
aglami@x agiel
onsów@x ons
neci@x net
potach@x pot
saty@x sat
łmom@x łm
gasowi@x gas
sie@e sie
rodami@x ród
eśń@x eśń
id@x id
ór ora
iamom@x iam
zu@o zko
rupy@x rup
exe@x ex
wąsami@x wąs
igo@a iga
ywem@o ywo
sno@a sna
htowi@x ht
elo@x el
iorom@x ior
delom@x del
anom@y any
apa@x ap
pasa@x pas
binu@x bin
ernie@x ern
łos@x łos
desu@x des
łań@e łanie
rosa@x ros
tałów@x tał
ryń@a rynia
taciom@x tać
ysłom@x ysł
anu@o anko
misach@x mis
unami@x un
lle@a lla
reniu@x reń
zydów@x zyd
rki@x rek
skim@a ska
izdów@x izd
sydami@x syd
os@x os
asty@x ast
ala@x al
ikli@x ikiel
ii@a ia
zenią@x zeń
sem@o so
curowi@x cur
chodem@x chód
aktu@x akt
ormu@x orm
ułku@x ułek
cyści@a cysta
iewom@w iew
aklów@x akl
gajach@x gaj
uni@a unia
orce@a orka
clu@x cel
cic@x cic
redowi@x red
ądce@a ądka
zotowi@x zot
tmą@a tma
edzia@x edź
tenów@x ten
tłom@o tło
icem@x ic
gon@x gon
iegów@x ieg
eł@o eło
rojami@x rój
kowie ek
ecach@x ec
adlom@x adel
ubu@x ub
lejowi@x lej
encem@x enc
kię@a kia
rayem@y ray
cułom@x cuł
ytmami@x ytm
aktom@x akt
arego@y ary
eżami@a eża
awem@w aw
wodzie@x wód
aźń@x aźń
bol@a bola
któw@a kta
ybów@x yb
szach@e sze
eśkom@x esiek
sen@a sna
illom@x ill
pcom@e pce
tików@x tik
ałowi@x ał
uniu@x uń
dinie@x din
łosów@x łos
habów@x hab
jco@a jca
sępa@x sęp
opowi@x op
palem@x pal
icach@x ic
oesowi@x oes
erg@a erga
alce@x alec
temach@x tem
ziki@x zik
lazy@x laz
aima@x aim
larowi@x lar
bce@x biec
cusiu@x cuś
ałtu@x ałt
urami@y ury
acego@y acy
tiach@a tia
uchem@x uch
kosowi@x kos
rydami@x ryd
fini@x fin
owcom@x owiec
iod@a ioda
oksowi@x oks
nkli@x nkiel
kstach@x kst
jczu@x jcz
hejom@x hej
acą@a aca
mirów@x mir
łunach@x łun
nary@x nar
rokowi@x rok
ćmę@a ćma
kutach@x kut
nkami@x nek
bcami@x biec
aw@o awo
blu@e ble
lux@x lux
dzce@a dzka
odołu@x odół
ony@y ony
holi@x hol
rociach@x roć
nocy@x noc
erń@a ernia
fasów@x fas
tyry@x tyr
indach@x ind
izu@x iz
iwą@a iwa
akowami@w aków
emie@a ema
wabowi@x wab
gelowi@x gel
mno@o mno
akowu@w aków
fagi@x fag
lahów@x lah
zedzy@x zeg
yściami@x yść
ziu@o zio
ajkami@x ajek
ajkami@x ajk
okojami@x okój
ctw@o ctwo
telami@x tel
reci@a reta
nnemu@e nne
raye@y ray
ścom@x ściec
lasy@x las
twach@o two
dyt@x dyt
efów@x ef
drków@x drek
irom@x ir
óżem@e óże
sty@y sty
aniami@x ań
tunach@x tun
rko@o rko
kace@a ka
trów@o tro
tusiowie@x tuś
omp@a ompa
tyty@x tyt
łaja@x łaj
gerom@x ger
epa@x ep
yksowi@x yks
mżom@a mża
kenie@x ken
ęcia ę
bek@x bek
wzorom@x wzór
lątom@x ląt
birowi@x bir
ion@o iono
orze@o oro
głami@o gło
verów@x ver
tem@a tema
manem@x man
ratu@x rat
zgi@x zg
aftowi@x aft
banach@x ban
zodem@x zód
rso@o rso
hozy@x hoz
yży@x yż
jarze@x jar
nał@x nał
łóg@x łóg
hach@a ha
tno@o tno
wiów w
jadami@x jad
tary@x tar
zic@x zic
ymków@x ymek
ak@a aka
ąbie@x ąb
tolami@x tol
wiu@e wie
imowie@x im
leków@x lek
żurom@x żur
fkowi@x fek
cięciem@x cię
bcu@x biec
inkowi@x inek
lii@e lie
nii@a nia
trami@a tra
dzów@x dz
notów@x not
ięgowi@x ięg
ance@x anc
endem@x end
apkach@x apek
ót ota
iti@x iti
życami@x życ
pnem@o pno
apsom@x aps
uscem@x usiec
keja@x kej
ami@x ami
odlom@x odel
rytach@x ryt
źdźcowi@x ździec
adlem@x adel
ir@x ir
rofach@x rof
dinach@x din
ici@a ita
cum@x cum
awach@w aw
bisem@x bis
stoje@x stój
wkom@a wka
harów@x har
zęce@a zęka
terem@x ter
ou@o oko
rowów@w rów
tezia@x teź
tafom@x taf
ryście@a rysta
adlowi@x adel
wie w
ytami@o yto
apsach@x aps
mby@a mba
sanów@x san
łąbach@x łąb
ff@x ff
itze@x itz
dunem@x dun
nomie@x nom
trem@o tro
musowie@x mus
tonowi@x ton
żur@x żur
az@x az
zyki@x zyk
nocie@a nota
remu@y ry
zoły@x zoł
nola@x nol
oisów@x ois
jon@x jon
tasu@x tas
tałowi@x tał
ankowie@x anek
edlem@x edel
cokach@x cok
aę@y ay
nigi@x nig
ebkach@x ebek
ga g
hw@a hwa
ent@x ent
pet@a peta
strów@x ster
odnie@x odzień
żlem@x żel
derowi@x der
trom@a tra
oenach@x oen
anem@x an
sków@a ska
mów@y my
nasi@x naś
inka@x inek
rzom@e rze
pię@a pia
rcha@x rch
arcowi@x arzec
mbów@x mb
ol@a ola
gaj@x gaj
arom@a ara
oniowi@x oń
yścią@x yść
wodem@x wód
uła@a uła
sągi@x sąg
zach@y zy
lesiom@x leś
ówach@a ówa
wodami@x wód
ucia@x uć
trzowie@x trz
sinach@x sin
ójów@x ój
nuć@e nucie
oowi o
argowi@x arg
rż@a rża
edach@o edo
ceńcem@x ceniec
ajnach@x ajn
rsom@o rso
parze@x par
wie@o wo
gice@a gika
by@y by
agrowi@x agier
ałach@x ał
skami@a ska
ądkiem@x ądek
onki@x onek
letu@x let
sanach@x san
azdami@x azd
aże@a aża
ukami@a uka
uja@x uj
rody@x ród
meny@x men
pałowi@x pał
tuki@x tuk
mcach@a mca
gmach@a gma
sza@a sza
kąta@x kąt
yką@a yka
ółków@x ółek
aglu@x agiel
eścią@x eść
dma@a dma
li@x li
li@x ll
fis@x fis
gitowi@x git
ndom@y ndy
ino@a ina
toków@x tok
opsem@x ops
bo@o bo
mkom@a mka
enz@a enza
wisem@x wis
ywcowi@x ywiec
oss@a ossa
barem@x bar
skich@x ski
ookom@x ook
egi@a ega
dłami@o dło
dziowi@x dź
b b
żeńców@x żeniec
wie@e wie
ezami@a eza
ilach@x il
zeli@x zel
orobem@x orób
poju@x pój
bilów@x bil
śl@x śl
ant@o anto
ertom@x ert
usom@x us
kubom@x kub
gikami@x gik
ialu@x ial
jkach@o jko
rsa@a rsa
olcami@x olec
hamem@x ham
derach@x der
nei@a nea
naki@x nak
nezami@x nez
bany@x ban
neżami@x neż
yklu@x ykl
żana@x żan
ofo@a ofa
rolem@x rol
yowi y
tac@a tacja
lęgiem@x ląg
gą@a ga
łopa@x łop
ńskowi@x ńsk
lców@x lec
talem@x tal
rnowi@x rn
mży@a mża
tawie@w taw
dra@o dro
topem@x top
nalu@x nal
iusami@x ius
iści@a ista
pezowi@x pez
hody@x hód
orfów@x orf
nol@x nol
dź@x dź
rcie@x rt
altom@x alt
jdami@x jd
yściach@x yść
irkom@x irek
tagowi@x tag
snkach@x snek
lach@e le
żerach@x żer
rnach@a rna
iumach@x ium
mach@o mo
hory@x hor
niru@x nir
óba@a óba
schu@x sch
iw@a iwa
hozom@x hoz
snku@x snek
sępy@x sęp
ndiego@x ndi
urgu@x urg
ołami@a oła
ędów@a ęda
golowi@x gol
ólów@x ól
ny@a na
iegiem@x ieg
łamy@x łam
ętom@a ęta
pskach@x psk
zkę@a zka
guty@x gut
łopy@x łop
dytach@x dyt
ibą@a iba
yń@x yni
borów@x bór
zan@a zana
eska@x esek
ug@a uga
icu@e ice
zzie@x zz
tyńcowi@x tyniec
moc@x moc
omby@x omb
eczy@x ecz
eł ło
ewom@w ew
rsla@x rsel
ręcie@x ręt
oz@a oza
akle@x akl
ownów@x own
tku@x tek
zusom@x zus
ke'ach@e ke
okołowi@x okół
ancom@x anc
mrozy@x mróz
ludzie@x lud
zęty@x zęt
ołowem@w ołów
agi@a aga
bl@x bl
żka@x żek
lii@a lia
wan@x wan
wakom@x wak
yszach@x ysz
ębami@x ęb
rejami@x rej
ta t
zykach@x zyk
obę@a oba
occy@x ocki
głami@a gła
ałom@x ał
ursem@x urs
rami r
ersów@x ers
łanom@x łan
lurowi@x lur
uchach@x uch
użkami@x użek
mur@x mur
lesom@x les
brem@o bro
winy@x win
ób@x ób
mfo@a mfa
elmom@x elm
pezów@x pez
ódkami@x ódek
lasa@x las
iwce@a iwka
nomów@x nom
casowi@x cas
tułem@x tuł
efom@a efa
szkiem@x szek
dza@x dz
eckowi@x ecek
ysłowie@x ysł
casem@x cas
pkowi@x pek
nym@a na
kotu@x kot
ołkom@x ołek
zyńcem@x zyniec
lców@a lca
eski@x esek
eski@x esk
rysom@x rys
malem@x mal
wet@a weta
ld@x ld
zetem@x zet
gol@x gol
mesowi@x mes
ezach@x ez
lchach@x lch
enc@a encja
asu@x as
ulą@a ula
rynie@x ryn
egowi@x eg
ępa@a ępa
ębom@x ęb
fatami@x fat
iasom@x ias
um@a uma
ecią@x eć
weł@x weł
ąsy@x ąs
alkami@x alek
ażami@a aża
amce@a amka
imków@x imek
eca@x ec
pój@x pój
mmy@a mma
ojami@a oja
ond@x ond
apkami@x apek
kunach@x kun
ypty@x ypt
jnach@x jn
nemem@x nem
ływ@w ływ
gaja@x gaj
iękami@x ięk
apu@x ap
ież@a ieża
ginowie@x gin
hańcami@x haniec
łoka@x łok
nylem@x nyl
rpami@a rpa
żych@y ży
re'em@e re
rczami@x rcz
nęcie@a nęta
jtek@a jtka
risom@x ris
aów a
tara@x tar
iumowi@x ium
dzom@a dza
zcom@x ziec
rot@a rota
żcami@x żec
fom@a fa
órz@e órze
kar@a kara
akcie@a akta
awcach@x awiec
frze@a fra
ortem@x ort
nzla@x nzel
from@a fra
krzy@x kier
zelach@x zel
erów@o ero
iwie@a iwa
erzą@x erz
rba@x rb
eerowi@x eer
rcie@a rta
zia@o zio
gara@x gar
otra@x otr
aułem@x auł
motami@x mot
iącami@x iąc
kstowi@x kst
ńkami@a ńka
roka@x rok
aksy@x aks
rnych@y rny
rnem@x rn
una@a una
kka@a kka
dzlami@x dzel
ewach@a ewa
ser@x ser
ezek@a ezka
owych@a owa
idze@x idz
ńco@a ńca
dosom@x dos
ienie@x ień
sje@a sja
ążki@x ążek
anta@x ant
fanu@x fan
wag@a waga
gonom@x gon
ejtami@x ejt
niów@x nium
łasach@x łas
ątka@x ątek
kslom@x ksel
epcach@x epiec
zib@a ziba
nchami@x nch
łesie@x łes
ewek@o ewko
elmowie@x elm
rszów@x rsz
ernowi@x ern
ża@a ża
wilem@x wil
zcami@a zca
zole@a zoła
pło@o pło
óża@x óż
ptom@x pt
hakami@x hak
żeniu@x żeń
uzy@x uz
cki@x cki
setu@x set
yny@y yny
krach@x kier
gru@x gier
ginom@x gin
intów@x int
sji@a sja
samem@x sam
ryle@x ryl
desom@x des
lnego@y lny
firach@x fir
łukami@x łuk
rze@o ro
utka@x utek
urków@x urek
pole@x pol
en na
nety@x net
ropu@x rop
nikach@x nik
yfowie@x yf
ętę@a ęta
nchach@x nch
ołowowi@w ołów
lomom@x lom
wozów@x wóz
ii@e ie
isiów@x iś
ieńcu@x ieniec
serowi@x ser
tolem@x tol
naje@x naj
esach@x es
owów@a owa
drku@x drek
jęć@e jęcie
mułach@x muł
ptach@a pta
fikom@x fik
zębu@x ząb
mowie@a ma
ij@x ij
ulkami@x ulek
łaza@x łaz
psom@x ps
ott@o otto
spie@a spa
acha@x ach
udami@a uda
aga@a aga
ogiem@x og
mfu@x mf
sażowi@x saż
źle zeł
bicie@a bita
azą@a aza
fij@a fia
kien@o kno
wii@a wia
ulowie@x ul
ępom@a ępa
enca@x enc
rcą@a rca
damów@x dam
ąża@a ąża
rydom@x ryd
iata@x iat
fiście@a fista
uz@a uza
ycha@x ych
bin@x bin
leńcze@x leniec
ujami@a uja
rzkach@x rzek
umowi@x um
łodami@x łód
mpty@x mpt
iobowi@x iób
nażach@x naż
ppa@a ppa
wicie@a wita
rnach@x rn
ąkowi@x ąk
alce@a alka
uł@a uła
czn@o czno
ywo@o ywo
ośnie@o osno
łańcy@x łaniec
jny@a jna
yfa@a yfa
tisie@x tis
clami@x cel
iobach@x iób
utom@y uty
ym@a yma
pska@x psk
ajd@a ajda
ionami@x ion
lągiem@x ląg
curach@x cur
eatami@x eat
eucie@a euta
nszowi@x nsz
zlach@x zel
ninowie@x nin
ludów@x lud
iećmi@o iecko
rzędzie@x rząd
efę@a efa
ronem@x ron
norów@x nor
wusowi@x wus
rayach@y ray
ytach@x yt
hmie@a hma
łąbowi@x łąb
konowi@x kon
użem@x uż
akrze@x akier
capy@x cap
ketu@x ket
ramom@x ram
man@a mana
lda@a lda
ilom@a ila
serom@x ser
ngami@o ngo
czym@y czy
rcami@e rce
kosiowi@x koś
ada@a ada
epcze@x epiec
mirem@x mir
lm@a lma
ttów@x tt
ouków@x ouk
iemowi@x iem
halem@x hal
śnia sień
zofowie@x zof
jaków@x jak
uto@a uta
iktów@x ikt
gikom@x gik
zyńcu@x zyniec
wetom@x wet
wozem@x wóz
snkiem@x snek
nosa@x nos
fała@x fał
użce@a użka
lesami@x les
ięt@a ięta
oiku@x oik
getu@x get
ind@a inda
lesowie@x les
ramach@x ram
dynami@x dyn
do@o do
ebom@o ebo
alem@x al
oty@a ota
ach@a acha
szcem@x szec
log@x log
ssom@a ssa
turowie@x tur
yty@a yta
ja@x jum
exach@x ex
ppy@a ppa
eble@x ebel
hozem@x hoz
fanowi@x fan
ksty@x kst
yntu@x ynt
pedowi@x ped
poli@x pol
mście@a msta
ęcią@x ęć
zmem@x zm
ody@y ody
szlach@x szel
dug@a duga
aimi@x aim
ia@o io
izce@a izka
wonami@x won
hota@x hot
gerze@x ger
ponie@x pon
snami@o sno
rgi@x rg
ill@a illa
nce@a nka
ykciów@x ykieć
otrów@x otr
winu@x win
ayem@y ay
wotami@x wot
dzcowi@x dziec
hodach@x hód
gary@x gar
etowi@x et
sanom@x san
ayowi@y ay
zotami@x zot
ału@x ał
pacie@x pat
serami@x ser
uami@a ua
twie@w tew
sze@x sz
rażem@x raż
ndlów@x ndel
ięg@x ięg
bułach@x buł
lądami@x ląd
pelach@x pel
auł@x auł
porem@x pór
porem@x por
tule@x tuł
nsami@x ns
gołom@x goł
ejo@a eja
włom@x weł
rywach@w ryw
ciąt@x cię
óbek@a óbka
lenami@x len
rfom@a rfa
eor@x eor
łowiach@w łów
icie@o ito
urom@y ury
ialem@x ial
psę@a psa
zeńcem@x zeniec
zebowi@x zeb
epcie@x ept
gowi g
ronom@x ron
ajcie@x ajt
ncyj@a ncja
źniem zień
stymi@y sty
żyście@a żysta
lusiami@x luś
iglem@x igiel
stw@a stwa
rzy r
ych y
zea@x zeum
ępce@a ępka
zer@x zer
runiach@x ruń
lazach@x laz
salach@x sal
chach@y chy
bój@x bój
merami@x mer
chami ech
rem@o ro
haru@x har
sytowi@x syt
ełkowie@x ełk
sądach@x sąd
óbą@a óba
suwie@w suw
exem@x ex
jbo@a jba
aka@x ak
adla@x adel
nok@x nok
tkami@a tka
iolem@x iol
wy@x wus
ytę@a yta
rw@w rw
rusa@x rus
stkach@x stek
wasom@x was
end@x end
sorach@x sor
asek@a aska
łowiem@w łów
ydy@a yda
asie@x as
dzami@a dza
żelami@x żel
zarze@x zar
pi@e pie
klach@e kle
amu@x am
ylców@x ylec
tyt@x tyt
nas@x nas
mon@x mon
nt@y nty
kowu@w ków
lerowi@x ler
ercowi@x erc
kicie@x kit
idle@o idło
jnie@x jn
dyków@x dyk
slę@a sla
ansach@x ans
cuzowi@x cuz
zie@a za
lokach@x lok
tcie@x tt
łg@a łga
twami@o two
esza@x esz
ietle@o iatło
demami@x dem
korze@x kor
fowi f
mpu@o mpo
ahowie@x ah
tydu@x tyd
olem ól
jonowi@x jon
arków@x arek
chach@a cha
ajdach@x ajd
kułów@x kuł
lawom@w law
eiście@a eista
eji@x ej
wom@o wo
lgo@a lga
mki@a mka
jlem@x jl
piach@e pie
ępie@a ępa
brów@y bry
lejami@x lej
ław@a ława
loki@x lok
od@a oda
onty@x ont
łag@x łag
kele@x kel
ure'y@e ure
ewkom@x ewek
z z
wałami@x wał
ostom@x ost
irzy@x ir
ądach@x ąd
sukom@x suk
ray@y ray
liami@a lia
gańcze@x ganiec
oboje@x obój
płodowi@x płód
co@a ca
molu@x mol
owozie@x owóz
społu@x spół
rbli@x rbel
ieków@x iek
yglach@x ygiel
zach z
rutu@x rut
iwkom@x iwek
iażów@x iaż
chcie@a chta
ckiem@x ck
ckiem@x cek
zacie@x zat
órków@x órek
le l
obów@y oby
sągowi@x sąg
zosom@x zos
ecz@x ecz
ambowi@x amb
jtku@x jtek
tawem@w taw
zgów@x zg
ałek@a ałka
hoz@a hoza
ewodom@x ewód
zny@a zna
ebki@x ebek
akom@a aka
ózku@x ózek
pinów@x pin
użkowi@x użek
cu@o co
dżi@o dżio
oł@x oł
łonu@x łon
herowi@x her
one@e one
hał@x hał
arkowi@x arek
nory@x nor
owka@x owek
ąże@a ąża
ofami@x of
venami@x ven
sańca@x saniec
iarami@x iar
czę@x czę
imy@x im
ynowie@x yn
stojom@x stój
lidze@a liga
pułów@x puł
wda@a wda
cet@x cet
nat@a nata
kłach@a kła
udkowi@x udek
ągwiami@w ągiew
ea@x eum
ule@a uła
senów@x sen
gi@o gio
torowie@x tor
zał@a zała
ionom@x ion
yer@x yer
kasie@x kas
ąsie@x ąs
cpach@a cpa
ięziom@x ięź
męty@x męt
tei@a teja
ryżem@x ryż
stej@a sta
ban@x ban
ubem@x ub
dkowi@x dek
ri@x ri
upków@x upek
asę@a asa
ię@x ię
dalów@x dal
carom@x car
jusem@x jus
koni@x koń
koni@x kon
pisowi@x pis
rfami@x rf
mbom@x mb
ordu@x ord
yłkami@x yłek
tłem@o tło
jni@e jnie
ieje@x iej
czętom@x czę
tamowi@x tam
kopie@x kop
nyku@x nyk
otrze@x otr
jro@a jra
rańcy@x raniec
oczem@x ocz
usom@a usa
dery@x der
iał@x iał
rokom@x rok
ciętach@x cię
eyu@y ey
oldzi@x old
ębie@x ęb
ułów@x uł
rże@a rża
iemu@e ie
żce@a żka
yzgowi@x yzg
ylami@x yl
repom@x rep
ścami@x ściec
nusem@x nus
mutów@x mut
zokiem@x zok
potom@x pot
urg@x urg
drze@x der
sła@a sła
emcowi@x emiec
bka@a bka
rp@a rpa
yńcem@x yniec
ksy@x ks
dia@a dia
psa@a psa
aum@a auma
ążym@y ąży
ycie@x yt
ch@a cha
iecy@x iek
iele@o ieło
zuków@x zuk
ziem@e zie
itzu@x itz
ksli@x ksel
łeć@x łeć
łębie@x łąb
gór@a góra
lajów@x laj
bulom@x bul
zwojem@x zwój
unami@a una
ysku@x ysk
łajach@x łaj
ukami@x uk
bic@x bic
żeńca@x żeniec
ena@x en
rozami@x róz
pit@x pit
eńkowi@x eniek
katowi@x kat
głom@x gieł
ymę@a yma
iesów@x ies
rupie@x rup
ńka@a ńka
guście@a gusta
ścach siec
gwami@a gwa
leniom@x leń
hice@a hika
łdzie@x łd
rbowi@x rb
nchów@x nch
blęciem@x blę
idce@a idka
htów@x ht
kij@a kia
aici@a aita
oczu@x ocz
pol@x pol
azmami@x azm
yzmu@x yzm
jek@a jka
jorzy@x jor
yłkowi@x yłek
gusów@x gus
edr@x edr
bach b
ajkach@x ajek
ajkach@x ajk
linowi@x lin
orcie@a orta
łciom@x łeć
ądów@x ąd
akach@o ako
łka@a łka
apek@a apka
kla@a kla
piście@a pista
musem@x mus
nchu@x nch
cea@x ceum
pułem@x puł
olt@a olta
brach@a bra
ycę@a yca
celach@x cel
kupom@x kup
pnu@o pno
arpach@x arp
mnach@a mna
ok@x ok
życa@x życ
ębku@x ębek
win@x win
yki@a yka
prem@x per
opniach@x opień
sępów@x sęp
agrem@x agier
rbca@x rbiec
teziów@x teź
oszem@x osz
dosy@x dos
rorów@x ror
zna@o zno
repem@x rep
erę@a era
rzy@a rza
użka@x użek
iucie@x iut
gini@x gin
minowi@x min
els@x els
omku@x omek
diami@o dio
harowi@x har
pin@a pina
iccy@x icki
ign@a igna
jaty@x jat
wina@x win
synom@x syn
ulków@x ulek
ołkach@x ołek
uchów@x uch
eaty@x eat
orkiem@x orek
ypach@x yp
syny@x syn
dla@e dle
nusami@x nus
pakach@x pak
iko@a ika
hajów@x haj
głowowi@w głów
zera@x zer
nsach@a nsa
omorem@x omór
decie@x det
leny@x len
łogom@x łóg
glowi@x giel
odu@x od
ekach@x ek
tyd@x tyd
wirami@x wir
sory@x sor
aty@y aty
ftowi@x ft
lkowi@x lek
wocie@a wota
gra@a gra
ud@x ud
bkach@x bek
kubie@x kub
wałach@x wał
ky@a ka
zko@a zka
awkowi@x awek
etrach@x etr
aemom@x aem
ieżami@x ież
tomy@x tom
raci@a rata
bas@a basa
blętami@x blę
ffom@a ffa
biści@a bista
nach n
dnymi@a dna
wik@x wik
aosach@x aos
berach@x ber
rąbem@x rąb
izdu@x izd
ein@x ein
hałami@x hał
ferach@x fer
ociami@x oć
otów@y oty
docie@a dota
wilów@x wil
iu@e ie
bań@e banie
zowu@w zów
com@x ciec
usowi@x us
awiem@w aw
upkach@x upek
taci@a ta
miku@x mik
ęczą@x ęcz
aucie@x aut
ichów@x ich
ramowi@x ram
czniu@x czeń
aktach@x akt
edlach@x edel
plami@a pla
ercem@x erc
ułkami@x ułek
chw@a chwa
ubce@x ubiec
żytami@x żyt
usz@a usza
lk@x lk
eziach@x eź
zai@x zaj
zołu@x zoł
ryci@a ryta
rutom@x rut
wycie@x wyt
clów@x cel
herach@x her
moni@x mon
mik@a mika
urkom@x urek
nwiami@w new
ele@o eło
zjach@a zja
sańmi@e sanie
mptach@x mpt
ko@o ko
wrotu@x wrót
ietem@x iet
olfach@x olf
nzami@a nza
dacy@x dak
ul@a ula
yli@a yla
zniu@x zeń
dryj@a dria
olę@a ola
iąc@o iąco
su@x su
galu@x gal
cą@a ca
gotom@x got
celem@x cel
cusiowi@x cuś
ięciom@x ięć
lubem@x lub
wój@x wój
werom@x wer
ód oda
irków@x irek
oyu@y oy
iła@a iła
horzy@x hor
xom x
foka@x fok
ębcowi@x ębiec
du@x du
zmach@x zm
wegów@x weg
yniom@x yni
garach@x gar
goty@x got
edziem@x edź
py@y py
udku@x udek
zep@x zep
adlu@x adel
esta@x est
hów@a ha
izgami@x izg
aele@x ael
mkach@a mka
tem t
ląc@o ląco
ycek@o ycko
nykach@x nyk
awia@w aw
lowie@x li
iukami@x iuk
rny@x rn
zia@a zia
loga@x log
ziów@o zio
eby@x eb
glem@x giel
ega@x eg
śnie@x śń
sel@x sel
ochowi@x och
tagu@x tag
yblu@x ybel
reki@x rek
dku@x dek
iewowi@w iew
fina@x fin
kr@a kra
rałem@x rał
ukom@x uk
ałów@y ały
eda@o edo
awu@w aw
tizie@x tiz
aców@x ac
inów@x in
palów@x pal
wki@a wka
umę@a uma
tunami@x tun
iosach@x ios
hodowi@x hód
dzlach@x dzel
zul@a zula
mę@a ma
wabami@x wab
sinie@x sin
odom@x od
itrami@x itr
donami@x don
igach@a iga
dun@x dun
bcowi@x biec
rozem@x róz
pus@x pus
kołem@x kół
ldowie@x ld
oszach@x osz
óbku@x óbek
sztom@x szt
lay@y lay
ksom@a ksa
zeniem@x zeń
taciami@x tać
obojowi@x obój
sztem@x szt
iutom@x iut
gul@a gula
izdami@x izd
putami@x put
kut@a kuta
par@x par
tan@x tan
merzy@x mer
zmach@a zma
scom@x siec
ieńcem@x ieniec
zikiem@x zik
ożom@e oże
tysów@x tys
ńkom@a ńka
artu@x art
aldowi@x ald
sażom@x saż
twiom@w tew
ągi@x ąg
ol@x ol
unom@a una
nałem@x nał
rańca@x raniec
ebę@a eba
musu@x mus
ubku@x ubek
toku@x tok
arkiem@x arek
zinów@x zin
midzie@x mid
yprach@x yper
hotów@x hot
pcach@a pca
łż@x łż
lch@x lch
eksów@x eks
uerze@x uer
ożach@e oże
mici@a mita
uałów@x uał
bra@x ber
zug@a zuga
eżami@e eże
uesem@x ues
rom@y ry
boru@x bór
mun@a muna
yjo@a yja
masom@x mas
usie@x us
